,title,authors,ratings,year,average_rating
107,Asimov\'s Guide to the Bible: The Old Testament,Isaac Asimov,329,1967.0,1.330764607854531
109,The Relativity of Wrong,Isaac Asimov,318,1988.0,1.3502409783561857
110,Beginnings: The Story of Origins,Isaac Asimov,319,1987.0,1.0059157034676107
114,Asimov on Astronomy,Isaac Asimov,301,1974.0,1.580083906884295
115,The Dead Past,Isaac Asimov,291,1956.0,1.8198271284545062
116,In the Beginning,Isaac Asimov,299,1981.0,1.4329894497702096
117,The Tragedy of the Moon,Isaac Asimov,277,1973.0,1.527123213542533
118,Eight Stories from The Rest of the Robots ,Isaac Asimov,285,1964.0,1.0731510980550483
119,A Choice of Catastrophes,Isaac Asimov,284,1979.0,1.466987865422427
120,Asimov on Science Fiction,Isaac Asimov,279,1981.0,1.342126356156998
123,Words from the Myths,Isaac Asimov,267,1961.0,1.6719221151178605
125,Asimov\'s Guide to Science,Isaac Asimov,236,1972.0,1.8112158476967313
126,The Best Mysteries Of Isaac Asimov,Isaac Asimov,245,1986.0,1.5659732626172085
127,The Fun They Had,Isaac Asimov,286,1951.0,1.7565873304991317
128,The Best Science Fiction of Isaac Asimov,Isaac Asimov,233,1986.0,1.8887915808252456
130,"The Birth Of The United States, 1763 1816",Isaac Asimov,233,1973.0,1.8265727854153366
131,"Eu, Rob\xc3\xb4",Isaac Asimov,221,1950.0,1.7012139169745928
132,The Roving Mind,Isaac Asimov,231,1983.0,1.589783366102254
133,Asimov on Chemistry,Isaac Asimov,219,1974.0,1.6412113975733824
136,The Feeling of Power,Isaac Asimov,225,1958.0,1.171451521247143
137,La formaci\xc3\xb3n de Francia,Isaac Asimov,212,1972.0,1.7233260719194792
140,"Through A Glass, Clearly",Isaac Asimov,215,1967.0,1.1051922152335343
141,Asimov\'s Guide to the Bible: The New Testament,Isaac Asimov,197,1969.0,1.3151893923777496
143,Asimov\'s Chronology of Science and Discovery,Isaac Asimov,184,1989.0,1.3639418181682093
145,"Le grand livre des robots, Tome 1 : Pr\xc3\xa9lude \xc3\xa0 Trantor",Isaac Asimov,183,1990.0,1.036713527686025
146,Reason,Isaac Asimov,198,1941.0,1.5269279376173022
147,Mirror Image,Isaac Asimov,197,1972.0,1.9628759698063416
150,The Shaping of North America from Earliest Times to 1763,Isaac Asimov,194,1969.0,1.6142768667394871
152,Is Anyone There?,Isaac Asimov,194,1956.0,1.9947175874890726
158,Opus 100,Isaac Asimov,182,1969.0,1.6810499881214014
160,Grandes ideas de la ciencia,Isaac Asimov,167,1968.0,1.4261552163823747
164,Franchise,Isaac Asimov,178,1955.0,1.7179929259447224
166,Far As Human Eye Could See,Isaac Asimov,155,1987.0,1.7434841811033692
167,The Human Body: Its Structure and Operation,Isaac Asimov,149,1963.0,1.3602916695593454
168,"Asimov Laughs Again: More Than 700 Jokes, Limericks and Anecdotes",Isaac Asimov,160,1992.0,1.5959214322763426
169,La Ultima Pregunta y otros cuentos,Isaac Asimov,137,1990.0,1.7548197494108044
173,Realm of numbers,Isaac Asimov,141,1959.0,1.2429227884659841
174,"Le grand livre des robots, Tome 2 : La gloire de Trantor",Isaac Asimov,132,1990.0,1.788156992356575
